text,label
"Foundation models have transformed AI by reducing reliance on task-specific data through large-scale pretraining. While successful in language and vision, their adoption in EEG has lagged due to the heterogeneity of public datasets, which are collected under varying protocols, devices, and electrode configurations. Existing EEG foundation models struggle to generalize across these variations, often restricting pretraining to a single setup, resulting in suboptimal performance, in particular under linear probing. We present REVE (Representation for EEG with Versatile Embeddings), a pretrained model explicitly designed to generalize across diverse EEG signals. REVE introduces a novel 4D positional encoding scheme that enables it to process signals of arbitrary length and electrode arrangement. Using a masked autoencoding objective, we pretrain REVE on over 60,000 hours of EEG data from 92 datasets spanning 25,000 subjects, representing the largest EEG pretraining effort to date. REVE achieves state-of-the-art results on 10 downstream EEG tasks, including motor imagery classification, seizure detection, sleep staging, cognitive load estimation, and emotion recognition. With little to no fine-tuning, it demonstrates strong generalization, and nuanced spatio-temporal modeling. We release code, pretrained weights, and tutorials to support standardized EEG research and accelerate progress in clinical neuroscience.",Neuroscience
"Foundation models have transformed AI by reducing reliance on task-specific data through large-scale pretraining. While successful in language and vision, their adoption in EEG has lagged due to the heterogeneity of public datasets, which are collected under varying protocols, devices, and electrode configurations. Existing EEG foundation models struggle to generalize across these variations, often restricting pretraining to a single setup, resulting in suboptimal performance, in particular under linear probing. We present REVE (Representation for EEG with Versatile Embeddings), a pretrained model explicitly designed to generalize across diverse EEG signals. REVE introduces a novel 4D positional encoding scheme that enables it to process signals of arbitrary length and electrode arrangement. Using a masked autoencoding objective, we pretrain REVE on over 60,000 hours of EEG data from 92 datasets spanning 25,000 subjects, representing the largest EEG pretraining effort to date. REVE achieves state-of-the-art results on 10 downstream EEG tasks, including motor imagery classification, seizure detection, sleep staging, cognitive load estimation, and emotion recognition. With little to no fine-tuning, it demonstrates strong generalization, and nuanced spatio-temporal modeling. We release code, pretrained weights, and tutorials to support standardized EEG research and accelerate progress in clinical neuroscience. [SEP] [HINT] clinical -> Bioinformatics (Syns: ) | language -> Neuroscience (Syns: linguistic process, linguistic communication, spoken communication) | datasets -> Bioinformatics (Syns: )",Neuroscience
"Reconstruction of 3D erythrocyte or red blood cell (RBC) morphology from partial observations, such as microscope images, is essential for understanding the physiology of RBC aging and the pathology of various RBC disorders. In this study, we propose a multi-fidelity neural network (MFNN) approach to fuse high-fidelity cross-sections of an RBC, with a morphologically similar low-fidelity reference 3D RBC shape to recover its full 3D surface. The MFNN predictor combines a convolutional neural network trained on low-fidelity reference RBC data with a feedforward neural network that captures nonlinear morphological correlations, and augments training with surface area and volume constraints for regularization in the low-fidelity branch. This approach is theoretically grounded by a topological homeomorphism between a sphere and 3D RBC surfaces, with training data generated by dissipative particle dynamics simulations of stomatocyte-discocyte-echinocyte transformation. Benchmarking across diverse RBC shapes observed in normal and aged populations, our results show that the MFNN predictor can reconstruct complex RBC morphologies with over 95% coordinate accuracy when provided with at least two orthogonal cross-sections. It is observed that informative oblique cross-sections intersecting spicule tips of echinocytes improve both local and global feature reconstruction, highlighting the value of feature-aware sampling. Our study further evaluates the influence of sampling strategies, shape dissimilarity, and noise, showing enhanced robustness under physically constrained training. Altogether, these results demonstrate the capability of MFNN to reconstruct the 3D shape of normal and aged RBCs from partial cross-sections as observed in conventional microscope images, which could facilitate the quantitative analysis of RBC morphological parameters in normal and disease-related RBC samples.",Bioinformatics
"Reconstruction of 3D erythrocyte or red blood cell (RBC) morphology from partial observations, such as microscope images, is essential for understanding the physiology of RBC aging and the pathology of various RBC disorders. In this study, we propose a multi-fidelity neural network (MFNN) approach to fuse high-fidelity cross-sections of an RBC, with a morphologically similar low-fidelity reference 3D RBC shape to recover its full 3D surface. The MFNN predictor combines a convolutional neural network trained on low-fidelity reference RBC data with a feedforward neural network that captures nonlinear morphological correlations, and augments training with surface area and volume constraints for regularization in the low-fidelity branch. This approach is theoretically grounded by a topological homeomorphism between a sphere and 3D RBC surfaces, with training data generated by dissipative particle dynamics simulations of stomatocyte-discocyte-echinocyte transformation. Benchmarking across diverse RBC shapes observed in normal and aged populations, our results show that the MFNN predictor can reconstruct complex RBC morphologies with over 95% coordinate accuracy when provided with at least two orthogonal cross-sections. It is observed that informative oblique cross-sections intersecting spicule tips of echinocytes improve both local and global feature reconstruction, highlighting the value of feature-aware sampling. Our study further evaluates the influence of sampling strategies, shape dissimilarity, and noise, showing enhanced robustness under physically constrained training. Altogether, these results demonstrate the capability of MFNN to reconstruct the 3D shape of normal and aged RBCs from partial cross-sections as observed in conventional microscope images, which could facilitate the quantitative analysis of RBC morphological parameters in normal and disease-related RBC samples. [SEP] [HINT] understanding -> Neuroscience (Syns: savvy, intellect, sympathy) | complex -> Bioinformatics (Syns: building complex, coordination compound, composite) | results -> Bioinformatics (Syns: final result, consequence, resultant role)",Bioinformatics
"Place cells are neurons that act as biological position sensors, associated with and firing in response to regions of an environment to situate an organism in space. These associations are recorded in (combinatorial) neural codes, motivating the following mathematical question: Which neural codes are generated by a collection of convex open sets in Euclidean space? Giusti and Itskov showed that a necessary condition for convexity is the absence of ``local obstructions."" This necessary condition is, in fact, sufficient for certain families of codes. One such family consists of all codes with up to three maximal codewords. In this article, we investigate codes with four maximal codewords, showing that for many such codes, convexity is characterized by the absence of local obstructions, whereas for other such codes, convexity is characterized by the absence of local obstructions and a second type of obstruction, a ``wheel"". Key to our analysis is a case-by-case investigation based on the nerve complex of the set of maximal codewords of a neural code. Up to symmetry, there are 20 possible nerves; and our results fully characterize convexity in 15 of the 20 cases.",Neuroscience
"Place cells are neurons that act as biological position sensors, associated with and firing in response to regions of an environment to situate an organism in space. These associations are recorded in (combinatorial) neural codes, motivating the following mathematical question: Which neural codes are generated by a collection of convex open sets in Euclidean space? Giusti and Itskov showed that a necessary condition for convexity is the absence of ``local obstructions."" This necessary condition is, in fact, sufficient for certain families of codes. One such family consists of all codes with up to three maximal codewords. In this article, we investigate codes with four maximal codewords, showing that for many such codes, convexity is characterized by the absence of local obstructions, whereas for other such codes, convexity is characterized by the absence of local obstructions and a second type of obstruction, a ``wheel"". Key to our analysis is a case-by-case investigation based on the nerve complex of the set of maximal codewords of a neural code. Up to symmetry, there are 20 possible nerves; and our results fully characterize convexity in 15 of the 20 cases. [SEP] [HINT] based -> Bioinformatics (Syns: ground, free-base, base) | complex -> Bioinformatics (Syns: building complex, coordination compound, composite) | results -> Bioinformatics (Syns: final result, consequence, resultant role)",Neuroscience
"Building autonomous experiment workflows requires transcending beyond the data-driven surrogate models to incorporate and dynamically refine physical theory during exploration. Here we demonstrate the first fully automated experimental realization of Bayesian co-navigation - a framework in which an autonomous agent simultaneously runs a physical experiment and a computationally expensive physical model. Using an automated AFM platform coupled to a kinetic Monte Carlo (kMC) model of thin-film growth, the system infers a set of effective bond energies for the (CrTaWV)x-Mo(1-x) pseudo-binary combinatorial library, progressively adjusting the kMC parameters to decrease the epistemic disparity between simulation and experiment. This real-time theoretical refinement enables the kMC model to capture the behavior of the specific materials system and reveals the mechanistic role of hetero-bonding in governing surface diffusion. Together, these results establish co-navigation as a general strategy for tightly integrating physical models with autonomous experimental platforms to produce interpretable and continually self-correcting theoretical modelling of complex materials systems.",Materials Science
"Building autonomous experiment workflows requires transcending beyond the data-driven surrogate models to incorporate and dynamically refine physical theory during exploration. Here we demonstrate the first fully automated experimental realization of Bayesian co-navigation - a framework in which an autonomous agent simultaneously runs a physical experiment and a computationally expensive physical model. Using an automated AFM platform coupled to a kinetic Monte Carlo (kMC) model of thin-film growth, the system infers a set of effective bond energies for the (CrTaWV)x-Mo(1-x) pseudo-binary combinatorial library, progressively adjusting the kMC parameters to decrease the epistemic disparity between simulation and experiment. This real-time theoretical refinement enables the kMC model to capture the behavior of the specific materials system and reveals the mechanistic role of hetero-bonding in governing surface diffusion. Together, these results establish co-navigation as a general strategy for tightly integrating physical models with autonomous experimental platforms to produce interpretable and continually self-correcting theoretical modelling of complex materials systems. [SEP] [HINT] complex -> Bioinformatics (Syns: building complex, coordination compound, composite) | results -> Bioinformatics (Syns: final result, consequence, resultant role) | framework -> Bioinformatics (Syns: theoretical account, model, fabric)",Materials Science
We demonstrate that moving edge dislocations can induce the reversal of magnetization in a ferromagnetic film due to the Barnett effect. The dynamics of magnetization is studied numerically within a discretized Landau-Lifshitz equation on a hexagonal lattice containing over $10^5$ sites. Local coordinate frames coupled to the crystallographic axes for each spin are used together with the laboratory coordinate frame. The parameters of a hexagonal close-packed cobalt lattice have been chosen for illustration. The magnetization reversal from a metastable initial state created by the external magnetic field occurs on a time scale of a few picoseconds. Our results imply that fast local elastic twists generated by moving dislocations serve as an important mechanism of magnetization dynamics in solids subjected to a mechanical stress.,Materials Science
"We demonstrate that moving edge dislocations can induce the reversal of magnetization in a ferromagnetic film due to the Barnett effect. The dynamics of magnetization is studied numerically within a discretized Landau-Lifshitz equation on a hexagonal lattice containing over $10^5$ sites. Local coordinate frames coupled to the crystallographic axes for each spin are used together with the laboratory coordinate frame. The parameters of a hexagonal close-packed cobalt lattice have been chosen for illustration. The magnetization reversal from a metastable initial state created by the external magnetic field occurs on a time scale of a few picoseconds. Our results imply that fast local elastic twists generated by moving dislocations serve as an important mechanism of magnetization dynamics in solids subjected to a mechanical stress. [SEP] [HINT] used -> Bioinformatics (Syns: utilize, ill-used, apply) | field -> Materials Science (Syns: field of honor, line of business, orbit) | spin -> Materials Science (Syns: twisting, whirl, tailspin)",Materials Science
"Diffusion MRI has revealed important insights into white matter microstructure, but its application to gray matter remains comparatively less explored. Here, we investigate whether global patterns of gray-matter microstructure can be captured through neurite orientation dispersion and density imaging (NODDI) and whether such patterns are predictive of cognitive performance. Our findings demonstrate that PCA-based global indicators of gray-matter microstructure provide complementary markers of structure-function relationships, extending beyond region-specific analyses. Our results suggest that general microstructure factors may serve as robust, interpretable biomarkers for studying cognition and cortical organization at the population level. Using diffusion MRI and behavioral data from the Human Connectome Project Young Adult study, we derived region-averaged NODDI parameters and applied principal component analysis (PCA) to construct general gray-matter microstructure factors. We found that the factor derived from isotropic volume fraction explained substantial inter-individual variability and was significantly correlated with specific cognitive scores collected from the NIH Toolbox. In particular, the isotropic volume fraction factor was linked to reading and vocabulary performance and to cognitive fluidity.",Bioinformatics
"Diffusion MRI has revealed important insights into white matter microstructure, but its application to gray matter remains comparatively less explored. Here, we investigate whether global patterns of gray-matter microstructure can be captured through neurite orientation dispersion and density imaging (NODDI) and whether such patterns are predictive of cognitive performance. Our findings demonstrate that PCA-based global indicators of gray-matter microstructure provide complementary markers of structure-function relationships, extending beyond region-specific analyses. Our results suggest that general microstructure factors may serve as robust, interpretable biomarkers for studying cognition and cortical organization at the population level. Using diffusion MRI and behavioral data from the Human Connectome Project Young Adult study, we derived region-averaged NODDI parameters and applied principal component analysis (PCA) to construct general gray-matter microstructure factors. We found that the factor derived from isotropic volume fraction explained substantial inter-individual variability and was significantly correlated with specific cognitive scores collected from the NIH Toolbox. In particular, the isotropic volume fraction factor was linked to reading and vocabulary performance and to cognitive fluidity. [SEP] [HINT] cortical -> Neuroscience (Syns: ) | performance -> Bioinformatics (Syns: functioning, operation, carrying out) | results -> Bioinformatics (Syns: final result, consequence, resultant role)",Bioinformatics
"Current non-invasive neuroimaging techniques trade off between spatial resolution and temporal resolution. While magnetoencephalography (MEG) can capture rapid neural dynamics and functional magnetic resonance imaging (fMRI) can spatially localize brain activity, a unified picture that preserves both high resolutions remains an unsolved challenge with existing source localization or MEG-fMRI fusion methods, especially for single-trial naturalistic data. We collected whole-head MEG when subjects listened passively to more than seven hours of narrative stories, using the same stimuli in an open fMRI dataset (LeBel et al., 2023). We developed a transformer-based encoding model that combines the MEG and fMRI from these two naturalistic speech comprehension experiments to estimate latent cortical source responses with high spatiotemporal resolution. Our model is trained to predict MEG and fMRI from multiple subjects simultaneously, with a latent layer that represents our estimates of reconstructed cortical sources. Our model predicts MEG better than the common standard of single-modality encoding models, and it also yields source estimates with higher spatial and temporal fidelity than classic minimum-norm solutions in simulation experiments. We validated the estimated latent sources by showing its strong generalizability across unseen subjects and modalities. Estimated activity in our source space predict electrocorticography (ECoG) better than an ECoG-trained encoding model in an entirely new dataset. By integrating the power of large naturalistic experiments, MEG, fMRI, and encoding models, we propose a practical route towards millisecond-and-millimeter brain mapping.",Neuroscience
"Current non-invasive neuroimaging techniques trade off between spatial resolution and temporal resolution. While magnetoencephalography (MEG) can capture rapid neural dynamics and functional magnetic resonance imaging (fMRI) can spatially localize brain activity, a unified picture that preserves both high resolutions remains an unsolved challenge with existing source localization or MEG-fMRI fusion methods, especially for single-trial naturalistic data. We collected whole-head MEG when subjects listened passively to more than seven hours of narrative stories, using the same stimuli in an open fMRI dataset (LeBel et al., 2023). We developed a transformer-based encoding model that combines the MEG and fMRI from these two naturalistic speech comprehension experiments to estimate latent cortical source responses with high spatiotemporal resolution. Our model is trained to predict MEG and fMRI from multiple subjects simultaneously, with a latent layer that represents our estimates of reconstructed cortical sources. Our model predicts MEG better than the common standard of single-modality encoding models, and it also yields source estimates with higher spatial and temporal fidelity than classic minimum-norm solutions in simulation experiments. We validated the estimated latent sources by showing its strong generalizability across unseen subjects and modalities. Estimated activity in our source space predict electrocorticography (ECoG) better than an ECoG-trained encoding model in an entirely new dataset. By integrating the power of large naturalistic experiments, MEG, fMRI, and encoding models, we propose a practical route towards millisecond-and-millimeter brain mapping. [SEP] [HINT] cortical -> Neuroscience (Syns: ) | space -> Neuroscience (Syns: distance, place, outer space) | functional -> Neuroscience (Syns: working, usable, running)",Neuroscience
"Subjective cognitive decline (SCD) approximately doubles the risk of progressing to MCI and dementia. The present study investigates how one's subjective concerns of his/her own cognition are manifested in the neural dynamics during speech perception. EEG was collected from 56 Cantonese, cognitively normal older adults (aged 60 - 70) while they listened to stimuli of four expressive styles that varied in prosody: scrambled, descriptive, dialogue, and exciting. Using encoding models to predict EEG signals from acoustic, segmentation, and phonotactic features, we found that greater subjective concern was associated with weaker cortical tracking of (1) higher-level linguistic features but not acoustic features and (2) less engaging stimuli (scrambled and descriptive styles) but not prosodically rich stimuli. Overall, our results suggest that early signs of cognitive impairment can be revealed from speech perception via cortical tracking, especially while listening to prosodically flat speech.",Neuroscience
"Subjective cognitive decline (SCD) approximately doubles the risk of progressing to MCI and dementia. The present study investigates how one's subjective concerns of his/her own cognition are manifested in the neural dynamics during speech perception. EEG was collected from 56 Cantonese, cognitively normal older adults (aged 60 - 70) while they listened to stimuli of four expressive styles that varied in prosody: scrambled, descriptive, dialogue, and exciting. Using encoding models to predict EEG signals from acoustic, segmentation, and phonotactic features, we found that greater subjective concern was associated with weaker cortical tracking of (1) higher-level linguistic features but not acoustic features and (2) less engaging stimuli (scrambled and descriptive styles) but not prosodically rich stimuli. Overall, our results suggest that early signs of cognitive impairment can be revealed from speech perception via cortical tracking, especially while listening to prosodically flat speech. [SEP] [HINT] features -> Bioinformatics (Syns: characteristic, lineament, feature of speech) | cortical -> Neuroscience (Syns: ) | results -> Bioinformatics (Syns: final result, consequence, resultant role)",Neuroscience
"Layered Zintl compounds exhibit significant tunability of thermoelectric (TE) parameters facilitated by their multiple elemental combinations and flexibility in stacking order within the layers. In this work, the effect of stacking order on TE properties of theoretically predicted layered Zintl compounds XZnBi (X = Rb, Cs) is studied using 1st-principles calculations and Boltzmann equations. The materials are semiconductors having moderate band gaps ranging from 0.44 to 0.52 eV. There exist six identical hole pockets for valence band maxima due to the crystal symmetry. This leads to high band degeneracy but simultaneously promotes intervalley scatterings. While as for conduction bands, the Fermi surface consists of a single but highly anisotropic, quasi-two dimensional electron pockets with cylindrical shape along z-axis. This kind of Fermi surface is a characteristic of a pudding mold band shape. It facilitates a unique combination of heavy and light electron masses, simultaneously optimizing Seebeck coefficient and electrical conductivity. At first, electronic transport coefficients are calculated using constant relaxation time approximation (CRTA) or electron-phonon coupling matrix elements (el-ph). The calculated relaxation times are then integrated with transport results to get the realistic values of TE parameters. The analysis of three-phonon scattering reveals low thermal conductivity ($k_{l}$) below 2 W/m/K in these compounds. The $k_{l}$ also depends on stacking order with the values of nearly half in AB stacking as compared to that of AA stacking. These combined factors lead to a high ZT at 900 K, reaching to a maximum of 2.42 using CRTA and 0.52 when el-ph are included. The study highlights the potential of XZnBi systems as promising TE materials as well as the critical roles of stacking and el-ph in accurately evaluating TE properties.",Materials Science
"Layered Zintl compounds exhibit significant tunability of thermoelectric (TE) parameters facilitated by their multiple elemental combinations and flexibility in stacking order within the layers. In this work, the effect of stacking order on TE properties of theoretically predicted layered Zintl compounds XZnBi (X = Rb, Cs) is studied using 1st-principles calculations and Boltzmann equations. The materials are semiconductors having moderate band gaps ranging from 0.44 to 0.52 eV. There exist six identical hole pockets for valence band maxima due to the crystal symmetry. This leads to high band degeneracy but simultaneously promotes intervalley scatterings. While as for conduction bands, the Fermi surface consists of a single but highly anisotropic, quasi-two dimensional electron pockets with cylindrical shape along z-axis. This kind of Fermi surface is a characteristic of a pudding mold band shape. It facilitates a unique combination of heavy and light electron masses, simultaneously optimizing Seebeck coefficient and electrical conductivity. At first, electronic transport coefficients are calculated using constant relaxation time approximation (CRTA) or electron-phonon coupling matrix elements (el-ph). The calculated relaxation times are then integrated with transport results to get the realistic values of TE parameters. The analysis of three-phonon scattering reveals low thermal conductivity ($k_{l}$) below 2 W/m/K in these compounds. The $k_{l}$ also depends on stacking order with the values of nearly half in AB stacking as compared to that of AA stacking. These combined factors lead to a high ZT at 900 K, reaching to a maximum of 2.42 using CRTA and 0.52 when el-ph are included. The study highlights the potential of XZnBi systems as promising TE materials as well as the critical roles of stacking and el-ph in accurately evaluating TE properties. [SEP] [HINT] low -> Materials Science (Syns: low-spirited, scurvy, depressed) | transport -> Materials Science (Syns: transferral, enthral, shipping) | electronic -> Materials Science (Syns: )",Materials Science
"In addressing the challenge of Crystal Structure Prediction (CSP), symmetry-aware deep learning models, particularly diffusion models, have been extensively studied, which treat CSP as a conditional generation task. However, ensuring permutation, rotation, and periodic translation equivariance during diffusion process remains incompletely addressed. In this work, we propose EquiCSP, a novel equivariant diffusion-based generative model. We not only address the overlooked issue of lattice permutation equivariance in existing models, but also develop a unique noising algorithm that rigorously maintains periodic translation equivariance throughout both training and inference processes. Our experiments indicate that EquiCSP significantly surpasses existing models in terms of generating accurate structures and demonstrates faster convergence during the training process.",Materials Science
"In addressing the challenge of Crystal Structure Prediction (CSP), symmetry-aware deep learning models, particularly diffusion models, have been extensively studied, which treat CSP as a conditional generation task. However, ensuring permutation, rotation, and periodic translation equivariance during diffusion process remains incompletely addressed. In this work, we propose EquiCSP, a novel equivariant diffusion-based generative model. We not only address the overlooked issue of lattice permutation equivariance in existing models, but also develop a unique noising algorithm that rigorously maintains periodic translation equivariance throughout both training and inference processes. Our experiments indicate that EquiCSP significantly surpasses existing models in terms of generating accurate structures and demonstrates faster convergence during the training process. [SEP] [HINT] learning -> Bioinformatics (Syns: take, teach, acquire) | structure -> Bioinformatics (Syns: social system, complex body part, social structure) | crystal -> Materials Science (Syns: crystallization, quartz, lechatelierite)",Materials Science
